Country,Code,Continent
 Algeria,ALG,Africa
 Angola,ANG,Africa
 Benin,BEN,Africa
 Botswana,BOT,Africa
 Burkina Faso,BFA,Africa
 Burundi,BDI,Africa
 Cameroon,CMR,Africa
 Cape Verde,CPV,Africa
 Central African Republic,CTA,Africa
 Chad,CHA,Africa
 Comoros,COM,Africa
" Congo, Democratic Republic of",COD,Africa
" Congo, Republic of",CGO,Africa
 Côte d'Ivoire (Ivory Coast),CIV,Africa
 Djibouti,DJI,Africa
 Egypt,EGY,Africa
 Equatorial Guinea,EQG,Africa
 Eritrea,ERI,Africa
 Eswatini,SWZ,Africa
 Ethiopia,ETH,Africa
 Gabon,GAB,Africa
 Gambia,GAM,Africa
 Ghana,GHA,Africa
 Guinea,GUI,Africa
 Guinea-Bissau,GNB,Africa
 Kenya,KEN,Africa
 Lesotho,LES,Africa
 Liberia,LBR,Africa
 Libya,LBY,Africa
 Madagascar,MAD,Africa
 Malawi,MWI,Africa
 Mali,MLI,Africa
 Mauritania,MTN,Africa
 Mauritius,MRI,Africa
 Morocco,MAR,Africa
 Mozambique,MOZ,Africa
 Namibia,NAM,Africa
 Niger,NIG,Africa
 Nigeria,NGA,Africa
 Rwanda,RWA,Africa
 São Tomé and Príncipe,STP,Africa
 Senegal,SEN,Africa
 Seychelles,SEY,Africa
 Sierra Leone,SLE,Africa
 Somalia,SOM,Africa
 South Africa,RSA,Africa
 South Sudan,SSD,Africa
 Sudan,SDN,Africa
 Tanzania,TAN,Africa
 Togo,TOG,Africa
 Tunisia,TUN,Africa
 Uganda,UGA,Africa
 Zambia,ZAM,Africa
 Zimbabwe,ZIM,Africa
 Réunion,REU,Africa
 Zanzibar,ZAN,Africa
 Afghanistan,AFG,Asia
 Australia,AUS,Asia
 Bahrain,BHR,Asia
 Bangladesh,BAN,Asia
 Bhutan,BHU,Asia
 Brunei,BRU,Asia
 Cambodia,CAM,Asia
" China, People's Republic of",CHN,Asia
 Chinese Taipei (Taiwan),TPE,Asia
 Guam,GUM,Asia
 Hong Kong,HKG,Asia
 India,IND,Asia
 Indonesia,IDN,Asia
 Iran,IRN,Asia
 Iraq,IRQ,Asia
 Japan,JPN,Asia
 Jordan,JOR,Asia
" Korea, Democratic People's Republic of (North Korea)",PRK,Asia
" Korea, Republic of (South Korea)",KOR,Asia
 Kuwait,KUW,Asia
 Kyrgz Republic (Kyrgyzstan),KGZ,Asia
 Laos,LAO,Asia
 Lebanon,LBN,Asia
 Macau,MAC,Asia
 Malaysia,MAS,Asia
 Maldives,MDV,Asia
 Mongolia,MNG,Asia
 Myanmar,MYA,Asia
 Nepal,NEP,Asia
 Northern Mariana Islands,NMI,Asia
 Oman,OMA,Asia
 Pakistan,PAK,Asia
 Palestine,PLE,Asia
,,Asia
 Philippines,PHI,Asia
 Qatar,QAT,Asia
 Saudi Arabia,KSA,Asia
 Singapore,SIN,Asia
 Sri Lanka,SRI,Asia
 Syria,SYR,Asia
 Tajikistan,TJK,Asia
 Thailand,THA,Asia
 Timor-Leste (East Timor),TLS,Asia
 Turkmenistan,TKM,Asia
 United Arab Emirates,UAE,Asia
 Uzbekistan,UZB,Asia
 Vietnam,VIE,Asia
